--------- beginning of main
01-03 18:51:17.469 20477 20477 I chatty  : uid=10133 expire 99 lines
01-03 18:51:17.506 20477 20483 I chatty  : uid=10133 expire 1 line
01-03 18:51:17.597 20477 20491 I chatty  : uid=10133 expire 2 lines
01-03 18:51:17.635 20477 20496 I chatty  : uid=10133 expire 14 lines
01-03 18:51:17.666 20494 20494 I chatty  : uid=10133 expire 20 lines
01-03 18:51:18.930 20477 20487 I chatty  : uid=10133 expire 1 line
01-03 18:51:20.127 20477 20607 I chatty  : uid=10133 expire 2 lines
01-03 18:51:20.345 20477 20611 I chatty  : uid=10133 expire 3 lines
01-03 18:51:25.347 20477 20611 I chatty  : uid=10133 expire 151 lines
01-03 18:51:25.364 20477 20624 I chatty  : uid=10133 expire 7 lines
01-03 18:51:25.370 20477 20477 I chatty  : uid=10133 expire 12 lines
01-03 18:51:25.403 20477 20627 I chatty  : uid=10133 expire 13 lines
01-03 18:51:25.470 20477 20632 I chatty  : uid=10133 expire 10 lines
01-03 18:51:25.484 20477 20631 I chatty  : uid=10133 expire 6 lines
01-03 18:51:25.523 20477 20629 I chatty  : uid=10133 expire 21 lines
01-03 18:51:25.527 20477 20636 I chatty  : uid=10133 expire 9 lines
01-03 18:51:25.621 20477 20643 I chatty  : uid=10133 expire 9 lines
01-03 18:51:25.714 20477 20646 I chatty  : uid=10133 expire 10 lines
01-03 18:51:25.834 20477 20626 I chatty  : uid=10133 expire 4 lines
01-03 18:51:26.623 20477 20653 I chatty  : uid=10133 expire 9 lines
01-03 18:51:55.374 20477 20625 I chatty  : uid=10133 expire 1 line
01-03 18:51:55.470 20477 20611 I chatty  : uid=10133 expire 1 line
01-03 18:52:39.366 20477 20627 I chatty  : uid=10133 expire 4 lines
01-03 18:55:24.233 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 18:59:49.876 20477 20477 I chatty  : uid=10133 expire 11 lines
01-03 19:03:51.158 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:09:24.239 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:09:26.979 20477 20632 I chatty  : uid=10133 expire 15 lines
01-03 19:12:50.674 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:18:24.234 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:22:18.591 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:25:53.567 20477 20483 I chatty  : uid=10133 expire 1 line
01-03 19:27:30.456 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:29:05.235 20477 20646 I chatty  : uid=10133 expire 10 lines
01-03 19:32:54.626 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:36:55.360 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:42:30.485 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:49:05.696 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:54:28.869 20477 20632 I chatty  : uid=10133 expire 10 lines
01-03 19:54:30.495 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 19:59:07.330 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 20:05:01.027 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 20:10:01.824 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 20:15:30.517 20477 20477 I chatty  : uid=10133 expire 10 lines
01-03 20:21:30.530 20477 20477 I chatty  : uid=10133 expire 11 lines
01-03 20:23:34.104 20477 20632 I chatty  : uid=10133 expire 26 lines
01-03 20:23:36.457 20477 20631 I chatty  : uid=10133 expire 2 lines
01-03 20:23:36.474 20477 20629 I chatty  : uid=10133 expire 7 lines
01-03 20:23:36.476 20477 21412 I chatty  : uid=10133 expire 9 lines
01-03 20:23:44.546 20477 20477 I chatty  : uid=10133 expire 11 lines
01-03 20:23:44.548 20477 20648 I chatty  : uid=10133 expire 1 line
01-03 20:23:45.110 21439 21439 I chatty  : uid=10133 ps expire 20 lines
01-03 20:23:45.145 20477 20477 I chatty  : uid=10133 expire 19 lines
01-03 20:23:45.465 20477 20627 I chatty  : uid=10133 expire 1 line
01-03 20:23:53.985 21448 21448 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 32 lines
01-03 20:23:54.043 21448 21461 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:23:54.083 21448 21466 I chatty  : uid=10133 callback looper expire 14 lines
01-03 20:23:54.093 21463 21463 I chatty  : uid=10133 ps expire 20 lines
01-03 20:23:54.194 21448 21448 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 70 lines
01-03 20:23:56.130 21448 21496 I chatty  : uid=10133 RenderThread expire 2 lines
01-03 20:23:56.319 21448 21501 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 148 lines
01-03 20:24:01.326 21448 21526 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 7 lines
01-03 20:24:01.360 21448 21529 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 17 lines
01-03 20:24:01.402 21448 21530 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:24:01.772 21448 21537 I chatty  : uid=10133 pool-2-thread-1 expire 6 lines
01-03 20:24:01.773 21448 21540 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:24:01.797 21448 21542 I chatty  : uid=10133 SoundPlayer expire 2 lines
01-03 20:24:01.798 21448 21543 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:24:01.833 21448 21547 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:24:01.836 21448 21539 I chatty  : uid=10133 SoundPoolThread expire 7 lines
01-03 20:24:01.839 21448 21548 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 9 lines
01-03 20:24:02.812 21448 21501 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 57 lines
01-03 20:24:02.862 21448 21528 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 18 lines
01-03 20:24:02.867 21448 21553 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 33 lines
01-03 20:24:02.874 21448 21542 I chatty  : uid=10133 SoundPlayer expire 2 lines
01-03 20:24:02.874 21448 21448 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 7 lines
01-03 20:24:02.886 21448 21539 I chatty  : uid=10133 SoundPoolThread expire 7 lines
01-03 20:24:02.892 21448 21557 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 9 lines
01-03 20:24:02.892 21448 21537 I chatty  : uid=10133 pool-2-thread-1 expire 10 lines
01-03 20:24:19.415 21448 21529 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 10 lines
01-03 20:24:21.830 21448 21576 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 10 lines
01-03 20:24:21.835 21448 21577 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 4 lines
01-03 20:24:21.838 21448 21501 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:24:31.335 21448 21527 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:24:51.838 21448 21576 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:14.440 21448 21528 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 7 lines
01-03 20:26:14.454 21448 21537 I chatty  : uid=10133 pool-2-thread-1 expire 8 lines
01-03 20:26:31.522 21448 21561 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:31.527 21448 21547 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:31.528 21448 21543 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:31.529 21448 21540 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:26:31.531 21448 21532 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:31.532 21448 21531 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:31.535 21448 21533 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:31.536 21448 21553 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:26:31.536 21448 21448 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 3 lines
01-03 20:26:31.541 21448 21586 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 196 lines
01-03 20:26:31.573 21448 21537 I chatty  : uid=10133 pool-2-thread-1 expire 11 lines
01-03 20:26:31.722 21448 21496 I chatty  : uid=10133 RenderThread expire 1 line
01-03 20:26:36.569 21448 21448 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 3 lines
01-03 20:26:36.974 21448 21597 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:26:37.009 21448 21598 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:37.060 21448 21599 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 3 lines
01-03 20:26:38.069 21448 21600 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 31 lines
01-03 20:26:41.775 21448 21529 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:26:41.777 21448 21528 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 4 lines
01-03 20:26:44.316 21448 21600 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 73 lines
01-03 20:26:44.879 21448 21604 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 5 lines
01-03 20:26:44.892 21448 21537 I chatty  : uid=10133 pool-2-thread-1 expire 11 lines
01-03 20:26:44.997 21448 21601 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:45.052 21448 21542 I chatty  : uid=10133 SoundPlayer expire 2 lines
01-03 20:26:45.052 21448 21448 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 8 lines
01-03 20:26:45.080 21448 21539 I chatty  : uid=10133 SoundPoolThread expire 7 lines
01-03 20:26:45.083 21448 21608 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 9 lines
01-03 20:26:45.168 21448 21599 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:45.170 21448 21598 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:45.172 21448 21597 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:26:45.173 21448 21595 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:45.174 21448 21594 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:26:45.174 21448 21596 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:27:06.551 21448 21593 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:27:08.069 21448 21586 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:27:32.455 21448 21529 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:27:32.463 21448 21600 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 6 lines
01-03 20:27:32.474 21448 21614 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 57 lines
01-03 20:27:37.903 21448 21621 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:27:37.907 21448 21614 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 8 lines
01-03 20:27:37.942 21448 21622 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:27:37.952 21448 21614 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:27:37.995 21448 21623 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 3 lines
01-03 20:27:38.110 21448 21614 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 129 lines
01-03 20:27:38.963 21448 21624 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 51 lines
01-03 20:27:38.963 21448 21542 I chatty  : uid=10133 SoundPlayer expire 1 line
01-03 20:27:38.972 21448 21537 I chatty  : uid=10133 pool-2-thread-1 expire 5 lines
01-03 20:27:39.577 21448 21529 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 4 lines
01-03 20:27:39.580 21448 21528 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 4 lines
01-03 20:27:42.533 21448 21448 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 1 line
01-03 20:27:53.691 21448 21631 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 3 lines
01-03 20:27:53.693 21448 21537 I chatty  : uid=10133 pool-2-thread-1 expire 15 lines
01-03 20:27:53.788 21448 21631 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 2 lines
01-03 20:27:53.793 21448 21624 I chatty  : uid=10133 com.qualcomm.ftcrobotcontroller expire 55 lines
